image	caption
/content/MediaEval_NewsImages/Training Dataset/UVZbUV8IURQpUUFXBgtWDAkGR3MGSQFW.jpg	Melnyk as usual charming: Finally, Kretschmer gets on his feet! He can't leave it. Not only Saxony's Prime Minister Michael Kretschmer, also ex-Federal Chancellor Angela Merkel, the Ukrainian ambassador in Berlin harassed for her allegedly year-long putin-friendly cuddly course.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVkMAEApUUFXBgtSWFwAQ3tVGAJR.jpg	Bill Gates: We will have an invalid election and civil war At this year's meeting Forbes 400 Summit on Philanthropy, the billionaire and self-appointed Philanthrop Bill Gates took a look at the near future of the USA. In his opinion, the prospects are not beautiful.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVEPU0opUUFXBgtQCglWQypWTlAB.jpg	Live-Ticker Ukraine War: Nord Stream: FSB determined for terrorism Russia conducts a military operation in Ukraine. The West reacts with ever new weapons deliveries to Ukraine and unprecedented sanctions. Read the latest developments here.
/content/MediaEval_NewsImages/Training Dataset/UVZbUV1bUUQpUUFXBgtRX15VRn5dQAZd.jpg	Farewell from Ukraine: Four areas are separated from Kiev for accession to Russia Four regions have decided by referendum to split Ukraine and join the Russian Federation. This is the greatest blessing in recent history. What is known about the accession process and what do the international electoral observers say?
/content/MediaEval_NewsImages/Training Dataset/UVZbUV4PURR-XR8FAA5VC1tTRChQTwFX.jpg	Gender in the US military: How the former military power destroys itself with the woke ideology In the USA, Woke ideology has now also infiltrated the once-respected Air Force Academy. There, the incoming officers are now stopped to speak genderly and to avoid microaggressions by no longer using terms like their types or terrorists. Thus, the dismantling on behalf of the woken minority continues to burden the former military power.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVFUBkN-XR8FAA5VUF9dQS4DTQZW.jpg	Russia calls UN Security Council for damage to Nord Stream tubes Mariaaro Sachwa, spokesman of the Russian Ministry of Foreign Affairs, declared that Russia In their opinion, the Russian authorities consider the incidents of pipelines to be provocation.
/content/MediaEval_NewsImages/Training Dataset/UVZbUVBcVxF-XR8FAA5VDwhUQHIEGlEH.jpg	Euro continues to fall – new all-time low reaches Swiss franc For months, the euro has been in a sinking flight to stable currencies such as the Swiss franc and the US dollar. A euro cost only 0.94 Swiss francs on Wednesday – a new historical low.
/content/MediaEval_NewsImages/Training Dataset/UVZbUV4MUEd-XR8FAA5VCwkHR3pTHwQE.jpg	Explosions of Nord Stream pipelines: Indications indicate the USA There are more indications that both Nord Stream gas lines have been deliberately blown. A whole series of indirect references suggests a US-Marine participation. How exactly could the diversion be organized and why did the last line of Nord Stream 2 remain undamaged?
/content/MediaEval_NewsImages/Training Dataset/UVZbUVwLAUEpUUFXBgtWDAkGR3MGSQMG.jpg	Study: mRNA from corona vaccines temporarily detectable in breast milk However, a new publication shows that vaccine mRNA can also be detected 45 hours after vaccination in breast milk. Even a specialist journal issued a warning on Twitter.
/content/MediaEval_NewsImages/Training Dataset/UVZbUV9dVEYpUUFXBgtRX1lUQ3hRSAQG.jpg	Russian politologe about the Ukraine conflict after referendum: No more space for negotiations How will the situation in the battlefield in Ukraine and in the new Russian territories develop after the referendums? And what options are there for hostile parties to reach an agreement on diplomatic routes? A sober view of a Russian political scientist.
/content/MediaEval_NewsImages/Training Dataset/UVZbUQtZUUB-XR8FAA5VCgtVRS4BG1Jd.jpg	BND supports Ukraine with military information The Federal Government supports Ukraine far more strongly than previously known. Media reports show that the Federal Intelligence Service has been providing militaryly valuable information to Ukraine since spring. In Berlin one keeps itself covered.
/content/MediaEval_NewsImages/Training Dataset/UVZbUFpdBxZ-XR8FAA5VDwhUQHIEGl9c.jpg	Swedish Coast Guard reports fourth leak to Nord Stream As the Swedish daily Svenska Dagbladet reports the coastguard The Russian prosecution. Russia calls for urgent session in the UN Security Council.
/content/MediaEval_NewsImages/Training Dataset/UVZbUQhUB0ApUUFXBgtRUVUEQS9UTgZc.jpg	Energy crisis: USA advertise German companies with low energy prices The high energy prices put Germany at risk. The US is now trying to recruit German companies with low energy prices. Berlin knows about the problem and is now trying to counteract it.
/content/MediaEval_NewsImages/Training Dataset/UVZbUQgPUBF-XR8FAA5VCgkDQngBT19U.jpg	New EU sanction package against Russia includes oil price ceiling EU Commissionshefin Ursula von der Leyen has announced a new Russia In addition to the introduction of a price ceiling for Russian oil, it proposes to ban EU citizens from work in the leadership bodies of Russian state companies.
/content/MediaEval_NewsImages/Training Dataset/UVZbVF9ZXUB-XR8FAA5QDA9RRnxQTgNS.jpg	Pandemic of the untreated? Hirschhausen confirms existence of post-Vac syndrome In the third Corona year, many people ask themselves about the reasons for their health. Chronic Fatigue Syndrome or Long COVID after Corona infection? Surprisingly, media celebrity of Hirschhausen confirms the existence of a third variant: post-Vac syndrome.
/content/MediaEval_NewsImages/Training Dataset/UVZbUV9YVBYpUUFXBgtWDAkGR3MGSQJQ.jpg	Recognize your enemy: How a German government should react to the North Stream attacks Since the imposition of sanctions, Germany has been in a pit, but there has been a head out. Now this ladder is gone. How would a German government have to evaluate this act? What consequences would she have to draw?
/content/MediaEval_NewsImages/Training Dataset/UVZbUF1VAUopUUFXBgtVDQhTRXxcHwQG.jpg	Duma: Nord Stream can be repaired The Head of the State Duma Energy Committee informed journalists that it was technically possible to repair Nord Stream. The repair could probably last up to a year, because the process is complicated.
/content/MediaEval_NewsImages/Training Dataset/UVZbUF1UBkZ-XR8FAA5VCwkHR3pSSVRU.jpg	53 times as much salary as normal earners – DAX boards saw Knapp earn four million euro This is a multiple of what average employees get. The disparities in Germany are significantly increased. The Group Executives' salary increased by 24 percent last year.
/content/MediaEval_NewsImages/Training Dataset/UVZbUF8LBkEpUUFXBgtVXFRSR3sHS1ZT.jpg	LVR authorities: 30 dead after Ukrainian fire of a refugee convoy at Charkow ‘Preview’ align=‘left’ style=‘margin-right: 10px ’ src=’https://cdni.russiatoday.com/english/images/2022.09/thumbnail/63356fc3b480cc059750b216.jpg’ /> LVR ambassador in Russia, Rodion Miroschnik, Ukraine The Russian military retreated from the city in early September.
/content/MediaEval_NewsImages/Training Dataset/UVZbUF9YA0UpUUFXBgtUWVwHQHwAH1RT.jpg	Live-Ticker Ukraine War: LVR reports 30 dead after Ukrainian fire of a refugee convoy Russia conducts a military operation in Ukraine together with the Donbass republikes. The West reacts with ever new weapons deliveries to Ukraine and unprecedented sanctions. Read the latest developments here.
/content/MediaEval_NewsImages/Training Dataset/UVZbUFwJBxR-XR8FAA5VC1tTRChQTlMG.jpg	World Bank President warns against global recession The president of the World Bank, David Malpass, warns of a global recession. Growth in the USA has already declined. The transition from Russian energy sources could take years and pose a great risk to the global economy.
/content/MediaEval_NewsImages/Training Dataset/UVZbUFpbBhEpUUFXBgtUC1tUQypUS1AH.jpg	Tucker Carlson on the North Stream: Industrial terrorism – made in USA Are Joe Biden and the Pieerleader of War Victoria Nupe Or were the pipelines just an annoying competition for the pipeline Baltic Pipe? Does the US president even have a nuclear war?
/content/MediaEval_NewsImages/Training Dataset/UVZbUV1cVRApUUFXBgtWDAkGR3MGSQVR.jpg	(Un)possible mission for Serbia: independence, EU path and friendship with Russia The European Union and the United States of America are constantly looking for guilty people where there is no one. How else could the pressure be explained to which Belgrade has recently been exposed? Does the EU seriously want Serbia to distance itself from Russia and impose sanctions against Moscow? The reason for this is the recently signed Serbian agreement with the Russian Federation.
/content/MediaEval_NewsImages/Training Dataset/UVZbUF9bVUF-XR8FAA5VUF9dQS4DTQJc.jpg	Where's Jackie? – Biden is looking for dead politician during the event How fit is US president Joe Biden really? The chain of disturbing appearances of the 79-year-old does not break. At an event on Wednesday at the White House in Washington, Biden was looking for the deputy Jackie Walorski who died in August.
/content/MediaEval_NewsImages/Training Dataset/UVZbUF5aBhZ-XR8FAA5VCgtVRS4BGwRV.jpg	As the Federal Government controls the anti-Russian narrative A document published on the following pages reveals bris Accordingly, the Federal Government massively influences the media discourse on Russia – and conjures anti-Russian resses in German society.
/content/MediaEval_NewsImages/Training Dataset/UVZbUF5dVEYpUUFXBgtUWVkDQn8AS1dR.jpg	Border controls at the Czech-Slovak border In order to curb the increasing migration via the Balkan route, the Czech Republic is once again carrying out border controls at the border with Slovakia. As a result, Austria also took up controls at the Slovak border. The Slovak Government calls for a discussion at EU level.
/content/MediaEval_NewsImages/Training Dataset/UVZbUFxYVkZ-XR8FAA5VDwhUQHIEGgYA.jpg	Report: Finland closes border for Russian tourists According to a media report, Finland will close its borders on Friday. The step had already been announced before. Exit to Finland is currently the last option for Russians to enter the EU directly.
/content/MediaEval_NewsImages/Training Dataset/UVZbUF9bA0MpUUFXBgtVDVtXRX1RHFdT.jpg	Bundesnetzagentur warns: Gas consumption must fall – even if it is colder than last year The Federal Network Agency has published figures on current gas consumption in Germany, which are still too high. Now people are to throttle heat consumption so that gas shortages can be avoided in winter. It will arrive at each individual.
/content/MediaEval_NewsImages/Training Dataset/UVZbUFFfABEpUUFXBgtUWVwHQHwAH1EA.jpg	US-Pacific Summit: Cold Shoulder for Joe Biden The US has invited to the US Pacific Summit. However, as The Guardian reports on the basis of thicker documents, the leaders of the island states are threatening to deny the US's follow-up.
/content/MediaEval_NewsImages/Training Dataset/UVZbUFELVkF-XR8FAA5VC1tTRChQTl4H.jpg	Live-Ticker Ukraine War - Kremlin: Joining new territories will be signed tomorrow Russia conducts a military operation in Ukraine. The West reacts with ever new weapons deliveries to Ukraine and unprecedented sanctions. Read the latest developments here.
